"","resp.id","unit.id","time.period","end","role","district","building","etl.instructionstatestandards","team.member","etl.learningtargets","etl.studentsassess","etl.studentsidentify","etl.feedbacktotargets","etl.studenttostudentfeedback","etl.studentsstatecriteria","cfa.usecfa","cfa.allincfa","etl.cfa.studentreviewscfa","cfa.cfausedtoplan","dbdm.teamreviewsdata","dbdm.teampositive","dbdm.effectiveteamingpractices","dbdm.datadeterminepractices","dbdm.visualrepresetations","lead.leadersmanage","lead.teachertoteacherfeedback","lead.leadercommitted","lead.leaderactive","pd.pdinstruction","pd.coachinginstruction","pd.pdmonitor","pd.teacherfeedbackinstruction","row.id","building.id","building.level"
"40","r_2z8sgirjbnya2ez","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,8849,"northeast randolph co. r-iv_northeast elem.","mult."
"41","r_wlt91xsvkxkg35f","northeast randolph co. r-iv","baseline","3/30/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,3,4,4,5,5,4,5,5,4,5,3,4,4,4,4,4,4,5,5,5,4,4,5,8850,"northeast randolph co. r-iv_northeast elem.","elem."
"42","r_wlt91xsvkxkg35f","northeast randolph co. r-iv","baseline","3/30/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,3,4,4,5,5,4,5,5,4,5,3,4,4,4,4,4,4,5,5,5,4,4,5,8850,"northeast randolph co. r-iv_northeast elem.","mult."
"43","r_1kdnq8pi8t9spvo","northeast randolph co. r-iv","baseline","4/3/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,4,3,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8851,"northeast randolph co. r-iv_northeast elem.","elem."
"44","r_1kdnq8pi8t9spvo","northeast randolph co. r-iv","baseline","4/3/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,4,3,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8851,"northeast randolph co. r-iv_northeast elem.","mult."
"45","r_3n6jmoperaoix6z","northeast randolph co. r-iv","baseline","3/29/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,4,3,4,5,3,3,4,4,4,4,5,5,4,4,5,5,5,4,5,4,4,3,8852,"northeast randolph co. r-iv_northeast elem.","elem."
"46","r_3n6jmoperaoix6z","northeast randolph co. r-iv","baseline","3/29/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,4,3,4,5,3,3,4,4,4,4,5,5,4,4,5,5,5,4,5,4,4,3,8852,"northeast randolph co. r-iv_northeast elem.","mult."
"47","r_9uup0pmfy9plozf","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,3,4,4,3,3,5,5,4,4,4,5,5,4,5,5,5,5,5,5,4,4,3,8853,"northeast randolph co. r-iv_northeast elem.","elem."
"48","r_9uup0pmfy9plozf","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,3,4,4,3,3,5,5,4,4,4,5,5,4,5,5,5,5,5,5,4,4,3,8853,"northeast randolph co. r-iv_northeast elem.","mult."
"49","r_2tuwjxltuyyqgnk","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,3,3,2,4,4,3,5,4,4,5,3,4,5,4,5,4,5,4,4,5,4,4,4,8854,"northeast randolph co. r-iv_northeast elem.","elem."
"50","r_2tuwjxltuyyqgnk","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,3,3,2,4,4,3,5,4,4,5,3,4,5,4,5,4,5,4,4,5,4,4,4,8854,"northeast randolph co. r-iv_northeast elem.","mult."
"51","r_1f0itvre0iqt7ui","northeast randolph co. r-iv","baseline","3/25/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,3,4,3,4,3,2,4,4,3,4,NA,NA,NA,4,5,5,4,4,4,4,3,4,3,8855,"northeast randolph co. r-iv_northeast elem.","elem."
"52","r_1f0itvre0iqt7ui","northeast randolph co. r-iv","baseline","3/25/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,3,4,3,4,3,2,4,4,3,4,NA,NA,NA,4,5,5,4,4,4,4,3,4,3,8855,"northeast randolph co. r-iv_northeast elem.","mult."
"53","r_2rklikfjtwm5zak","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,3,2,2,5,3,2,4,5,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,8856,"northeast randolph co. r-iv_northeast elem.","elem."
"54","r_2rklikfjtwm5zak","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,3,2,2,5,3,2,4,5,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,8856,"northeast randolph co. r-iv_northeast elem.","mult."
"55","r_zwnq7fbp6yez9ob","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,2,2,1,4,2,2,5,5,5,5,NA,NA,NA,NA,5,4,3,4,3,5,3,4,2,8857,"northeast randolph co. r-iv_northeast elem.","elem."
"56","r_zwnq7fbp6yez9ob","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,2,2,1,4,2,2,5,5,5,5,NA,NA,NA,NA,5,4,3,4,3,5,3,4,2,8857,"northeast randolph co. r-iv_northeast elem.","mult."
"57","r_3tsmxj3dkniqe09","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,1,1,2,4,2,1,3,3,2,2,5,5,3,4,5,5,3,4,4,4,3,4,3,8858,"northeast randolph co. r-iv_northeast elem.","elem."
"58","r_3tsmxj3dkniqe09","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,1,1,2,4,2,1,3,3,2,2,5,5,3,4,5,5,3,4,4,4,3,4,3,8858,"northeast randolph co. r-iv_northeast elem.","mult."
"59","r_vsx5b04gev6uj6h","northeast randolph co. r-iv","baseline","3/29/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,1,1,1,1,2,1,5,5,5,5,NA,NA,NA,NA,5,3,3,3,4,4,2,4,2,8859,"northeast randolph co. r-iv_northeast elem.","elem."
"60","r_vsx5b04gev6uj6h","northeast randolph co. r-iv","baseline","3/29/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,1,1,1,1,2,1,5,5,5,5,NA,NA,NA,NA,5,3,3,3,4,4,2,4,2,8859,"northeast randolph co. r-iv_northeast elem.","mult."
"61","r_22wu2tjzlai0xpp","northeast randolph co. r-iv","baseline","3/16/2018","media specialist","northeast randolph co. r-iv","northeast elem.",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,4,4,5,4,4,3,8888,"northeast randolph co. r-iv_northeast elem.","elem."
"62","r_22wu2tjzlai0xpp","northeast randolph co. r-iv","baseline","3/16/2018","media specialist","northeast randolph co. r-iv","northeast elem.",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,4,4,5,4,4,3,8888,"northeast randolph co. r-iv_northeast elem.","mult."
"63","393","northeast randolph co. r-iv","2018-19 spring","3/4/2019 13:13","other","northeast randolph co. r-iv","northeast elem.",5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,8889,"northeast randolph co. r-iv_northeast elem.","elem."
"64","393","northeast randolph co. r-iv","2018-19 spring","3/4/2019 13:13","other","northeast randolph co. r-iv","northeast elem.",5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,8889,"northeast randolph co. r-iv_northeast elem.","mult."
"65","9233","northeast randolph co. r-iv","2018-19 spring","3/28/2019 14:13","other","northeast randolph co. r-iv","northeast elem.",5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8890,"northeast randolph co. r-iv_northeast elem.","elem."
